variant,n,classical_opt,mode_bitstring,mode_prob,mode_cut,best_bitstring,best_prob,best_cut,expected_cut,ar_best,ar_expected,num_support,kept_policy
baseline,25,40.0,0100010111011010110001010,0.00015,38.0,1101010101101110010110000,0.0001,40.0,30.622699999999394,1.0,0.7655674999999849,19897,
baseline_selected,25,40.0,0100010111011010110001010,0.001426533523537849,38.0,1101010101101110010110000,0.0009510223490252328,40.0,31.04707560627749,1.0,0.7761768901569372,2000,"{'mass_raw': 0.10514999999999661, 'method': 'mass', 'mass_keep': 0.9, 'prob_threshold': None, 'k_max': 2000}"
