variant,method,reference,expected_cut,best_cut,ar_expected,ar_best,num_support
baseline,HighProb + Greedy(1-flip) polish,Chancellor 2017 (hybrid local search with annealers),36.278649548263516,40.0,0.9069662387065879,1.0,1797
baseline,MQC-style multi-qubit correction + polish,"Ayanzadeh et al. Sci Rep 11, 16119 (2021)",40.00000000000001,40.0,1.0000000000000002,1.0,10
